ISSN,IMPACT_FACTOR
1058-2746,2.8489999999999998
0144-0322,0.47600000000000003
2047-7473,1.167
0022-4561,2.258
0022-4596,2.1790000000000003
1664-039X,0.8440000000000001
2314-4920,1.391
0022-4707,1.12
1742-5468,2.404
1742-5468,2.404
1548-7660,22.737
1052-3057,1.598
1436-3291,5.045
0889-8553,3.265
1042-895X,0.5770000000000001
0016-5085,20.773000000000003
0717-6643,0.41
0016-6480,2.5639999999999996
0001-7701,1.7209999999999999
0890-9369,9.462
1976-9571,0.68
1098-3600,9.937000000000001
1053-0770,1.574
1045-3873,2.873
0021-9509,1.195
0021-9509,1.195
1873-9601,2.516
2090-9063,1.726
1863-2521,1.092
1726-4901,1.66
0257-9731,0.11199999999999999
0021-9673,3.716
1570-0232,2.441
1755-263X,7.279
2051-1434,3.46
0950-0618,3.485
1383-7133,0.66
0935-1175,2.311
0010-7999,3.6260000000000003
1355-4786,11.852
0737-0024,3.3789999999999996
0304-386X,3.3
0194-911X,6.8229999999999995
0019-1019,2.234
1054-3139,2.906
1045-9243,3.0069999999999997
1089-7798,2.7230000000000003
0163-6804,9.27
2168-2356,1.538
1545-598X,2.892
1077-2618,0.8640000000000001
1094-6969,1.895
2168-2194,3.85
2330-5517,0.34
1532-8813,0.33299999999999996
1069-6563,2.612
1549-6325,0.652
1468-0874,2.775
0960-3123,1.433
1742-8297,0.993
2194-5764,0.9229999999999999
0963-7486,2.3169999999999997
0129-0541,0.353
1365-8816,2.37
0219-8878,1.0090000000000001
1044-7318,1.2590000000000001
0920-8542,1.5319999999999998
1557-1939,1.1420000000000001
1063-4576,0.633
1931-7204,2.302
0022-4804,2.051
1600-5775,3.2319999999999998
0968-0896,2.8810000000000002
1542-166X,0.33899999999999997
0960-8524,5.807
0960-8524,5.807
1930-2126,1.202
1875-1342,1.527
0956-5663,8.173
0956-5663,8.173
1860-6768,3.5069999999999997
1398-5647,4.49
1741-7007,5.77
1471-2296,2.032
1471-2156,2.469
1471-2164,3.73
1741-7015,9.088
0021-9665,1.037
0218-1266,0.595
0959-6526,5.651
0894-8755,4.6610000000000005
0952-8180,1.818
0967-5868,1.64
1053-4628,0.8540000000000001
0303-6979,4.046
0305-7518,0.752
0377-9017,1.306
0887-6924,10.023
0024-3205,3.234
0024-3205,3.234
1380-7870,1.0
0075-9511,1.814
0024-3795,0.972
1476-511X,2.6630000000000003
1476-511X,2.6630000000000003
2168-0396,4.091
0363-1672,0.48700000000000004
1941-8264,2.766
1941-8264,2.766
1527-6465,3.752
1860-5974,0.508
1401-5439,1.045
1522-7235,1.671
0024-7766,0.976
1077-260X,3.367
1939-1404,2.7769999999999997
1932-4553,4.361000000000001
0272-1732,1.913
1531-1309,2.169
0890-8044,7.197
1943-0655,2.627
1070-9932,3.573
1070-9932,3.573
0018-9251,2.063
1021-9498,2.852
2193-4126,1.181
1067-2516,1.138
0016-0032,3.576
0270-5060,0.9790000000000001
0022-1236,1.3259999999999998
0956-7968,0.703
2093-582X,1.4
0022-1295,3.68
0949-7714,4.633
0949-7714,4.633
1090-0241,3.305
0734-743X,3.344
1943-670X,0.565
0169-8141,1.429
0890-6955,5.106
1479-8751,0.45799999999999996
1960-6206,1.936
1960-6206,1.936
0022-3093,2.488
0022-314X,0.774
0148-4834,1.185
1499-4046,2.571
1511-2780,0.42700000000000005
1755-876X,2.0669999999999997
0160-5682,1.396
1471-2180,2.8289999999999997
1471-2474,1.9980000000000002
1471-2431,2.042
1471-2466,2.721
1471-2482,1.692
1752-0509,2.05
1472-6874,1.806
2049-4394,3.5810000000000004
0268-3369,4.497
1018-4813,3.636
0960-085X,3.197
1351-5101,4.621
1619-7070,7.704
0301-2115,1.8090000000000002
0301-2115,1.8090000000000002
1756-2406,2.8089999999999997
0939-7248,1.494
1612-4642,1.453
0718-221X,1.014
0024-9831,1.4880000000000002
0953-1424,1.281
0024-998X,0.6609999999999999
0025-004X,0.196
0076-2997,1.6569999999999998
1995-7262,1.123
0025-2611,0.677
1745-1000,0.9009999999999999
0929-7049,2.74
0890-5487,0.674
1001-604X,2.378
0001-5733,0.88
0253-2786,1.392
1674-1056,1.321
0925-5001,1.4069999999999998
0925-5001,1.4069999999999998
0380-1330,2.354
1570-7873,2.8
0731-5090,2.024
1341-7649,0.509
0885-9701,3.406
0167-6296,3.25
0001-7868,0.235
0741-8329,2.425
1226-2617,1.556
1005-3867,0.39399999999999996
1472-2739,0.643
0002-5232,0.527
1748-7188,1.536
1710-1484,2.051
0002-5852,0.342
0893-0341,1.94
1758-9193,5.015
0002-8703,4.171
0002-9122,2.7880000000000003
0002-9149,3.1710000000000003
1062-3264,2.055
0002-9262,4.322
0195-7910,0.643
0002-9270,10.231
1064-7481,3.48
0022-3239,1.234
0160-6972,1.212
2000-2297,4.444
0890-5339,2.381
0030-9982,0.718
2095-3836,2.6319999999999997
0022-3395,1.395
1305-7707,0.115
0191-3913,0.9790000000000001
0021-7557,1.69
0891-5245,1.45
2193-5807,2.496
0144-5154,1.383
1432-0746,5.565
0004-637X,5.551
1687-6180,1.639
1687-4722,3.057
1687-1499,2.407
1099-5129,5.231
1824-307X,0.8059999999999999
0959-3020,0.568
0959-3020,0.568
1565-9801,0.976
0021-2172,0.7440000000000001
0792-9978,0.672
0161-2840,0.825
2038-5625,0.314
1720-8424,1.776
1091-8531,0.9159999999999999
0004-5411,1.744
1932-0620,2.406
1941-3149,4.712
1942-325X,5.664
1941-7640,6.504
0009-7322,18.88
0748-3007,5.877000000000001
1415-4757,1.493
0999-193X,3.7430000000000003
0016-6731,4.075
0831-2796,1.892
1472-4677,4.158
0016-6995,1.205
1010-6049,1.7590000000000001
0016-7002,1.057
1280-9659,1.024
0016-7169,0.633
0435-3676,1.6159999999999999
0435-3676,1.6159999999999999
0391-9838,1.0
1867-2477,2.333
1335-0552,1.169
0091-7613,5.073
2005-307X,1.818
0309-1929,1.4169999999999998
0956-540X,2.528
2193-0856,1.319
1072-6349,2.406
0149-6115,1.2790000000000001
0361-8609,5.303
0271-3586,1.729
0250-8095,2.884
0889-5406,1.8419999999999999
0002-9459,1.495
0002-9505,1.034
1040-0605,4.092
0010-9525,0.444
1631-0748,1.8769999999999998
1631-0713,1.621
0886-9634,1.094
0195-6671,1.9280000000000002
0899-5885,0.488
0279-5442,1.7069999999999999
1045-4403,1.734
1040-8398,6.015
1040-8398,6.015
1040-841X,4.738
1040-8428,4.495
1040-8436,5.656000000000001
0353-9504,1.422
1836-0947,1.354
1528-7483,3.972
2073-4352,2.144
1867-1381,3.248
0187-6236,1.083
0092-640X,4.441
1044-5110,1.189
1431-5254,0.084
1420-3030,2.0780000000000003
0743-4618,2.137
0067-1924,0.903
1322-7130,1.913
1369-1473,0.385
1440-6381,1.08
0147-6513,3.9739999999999998
0963-9292,1.9869999999999999
0021-8464,1.936
2226-4108,1.605
1346-8014,1.1340000000000001
0021-8502,2.281
1063-8652,2.0380000000000003
1187-7863,1.24
0021-8561,3.412
1068-5502,1.094
0925-8388,3.779
1050-0545,1.5930000000000002
0190-9622,6.898
1226-3303,2.131
0023-432X,0.636
2307-4108,0.693
0023-5776,0.063
0023-6837,4.254
2213-8587,19.313
0921-2973,3.833
0017-095X,0.379
0886-6236,4.457
1354-1013,8.997
1354-1013,8.997
1466-822X,5.957999999999999
1654-9880,1.906
2164-5698,2.9130000000000003
1382-6905,0.927
0021-9924,1.696
1229-2370,1.252
1229-2370,1.252
1064-2269,0.431
0021-9967,3.4
0340-7594,1.97
0174-1578,2.517
0735-7036,1.771
0885-064X,1.1740000000000002
1066-5277,1.1909999999999998
0887-4417,1.557
1555-1423,1.996
1911-6470,1.179
1529-7322,3.449
1573-4099,0.77
1389-2002,2.655
1522-6417,3.234
0929-8673,3.469
2379-8920,1.952
2156-3950,1.66
0278-0070,2.089
2168-2267,8.802999999999999
0018-9375,1.52
0885-8969,3.767
0885-8969,3.767
0196-2892,4.662
2168-2291,2.563
0093-9994,2.7430000000000003
0278-0046,7.05
1551-3203,5.43
0018-9464,1.4669999999999999
1536-1233,4.098
1520-9210,3.977
1536-1241,2.158
2162-237X,7.982
2162-237X,7.982
0018-9499,1.44
0424-7760,0.213
1868-2529,2.889
1068-9613,1.138
1811-5209,4.329
1469-221X,8.749
1080-6040,7.422000000000001
2222-1751,6.032
1871-5303,2.013
1351-0088,5.331
1124-4593,0.26
0023-852X,2.4419999999999997
1470-8396,1.516
0006-8055,0.9890000000000001
1678-4499,1.008
0387-7604,1.544
1443-9646,0.977
0093-934X,2.8510000000000004
1863-2653,4.231
1068-3623,0.242
0883-9441,2.872
0933-2790,1.056
0022-0248,1.742
1296-2074,1.706
0303-6987,1.5319999999999998
1556-4665,1.216
1539-9087,1.156
1556-4681,1.489
0098-3500,2.905
1550-4859,2.313
2156-8952,3.5
2380-8195,12.277000000000001
2380-8195,12.277000000000001
2330-4022,6.88
0044-5967,0.8370000000000001
0094-5765,2.227
1509-409X,0.9640000000000001
0583-6050,0.9590000000000001
1045-9219,3.971
0885-8993,6.812
1552-3098,4.263999999999999
0098-5589,3.3310000000000004
2168-2216,5.131
1053-2498,7.955
1053-2498,7.955
1381-1231,1.129
1522-2179,0.5
0047-2484,3.992
0890-3344,1.8359999999999999
0890-3344,1.8359999999999999
0022-1686,2.076
1464-7141,1.797
1464-7141,1.797
0042-790X,1.714
1525-755X,3.79
0219-8916,0.688
1755-9278,0.22899999999999998
0022-1759,2.19
2314-8861,3.298
1524-9557,3.826
1939-5981,0.779
1756-8293,0.8540000000000001
1674-4799,1.261
0301-7516,2.255
0217-751X,1.291
0717-9502,0.336
0020-7462,2.1630000000000003
1793-0421,0.536
0363-9061,2.219
0271-2091,1.673
0271-2091,1.673
0307-0565,5.151
1559-9612,0.882
0901-5027,2.164
0901-5027,2.164
2211-3207,3.03
1029-8436,2.322
0198-7569,1.249
1811-7775,0.765
0091-4037,2.127
2234-7593,1.661
0020-7543,2.623
0102-7638,0.805
1413-3555,1.699
0167-6806,3.605
0007-0912,6.499
0268-8697,1.238
0360-1323,4.539
0324-1130,0.242
1436-9990,0.9009999999999999
0305-4179,2.134
0305-4179,2.134
0007-9235,244.585
0007-9723,0.525
0944-2669,1.7380000000000002
0008-0845,1.2309999999999999
0269-7653,2.133
2059-7983,3.0989999999999998
0940-5429,3.1260000000000003
1784-3227,0.63
1214-9705,0.8859999999999999
0567-7718,1.545
1335-1788,0.973
1434-6621,3.556
0272-5231,4.3469999999999995
0009-8981,2.926
1550-0594,1.807
1179-1349,3.799
0954-7894,5.1579999999999995
0009-9104,3.542
1542-3565,7.683
0731-7115,0.862
1386-0291,1.9140000000000001
1523-0899,3.097
1058-4838,9.117
1555-9041,5.835
1050-642X,2.224
1433-6510,0.848
1388-2457,3.614
1385-4046,1.807
1869-1439,2.79
0936-6555,3.055
0905-7161,4.305
0009-921X,4.091
0009-9228,1.409
1029-242X,0.966
1016-2364,0.327
0022-1899,5.186
0163-4453,4.603
1662-811X,3.8369999999999997
1793-5458,1.136
1536-2442,1.324
1474-7480,1.63
1758-2652,5.131
0361-803X,3.125
0147-5185,5.877999999999999
1075-2765,1.0
1943-8141,3.0610000000000004
0084-5841,0.15
0002-6980,0.419
0310-057X,1.702
0003-2697,2.275
0340-2096,0.731
0718-7106,1.306
1976-8354,0.544
1075-2617,1.969
0887-3828,1.197
1089-9472,0.748
0731-7085,2.8310000000000004
1056-8719,2.269
1547-7037,1.315
1011-1344,3.165
1389-5567,15.325
1947-7988,2.157
0953-4075,2.119
0953-4075,2.119
1932-7447,4.484
1948-7185,8.709
1948-7185,8.709
0031-9015,1.485
0022-3751,4.54
1836-9553,4.542
0732-8818,0.8059999999999999
1742-5247,5.553
1742-5255,3.1510000000000002
1747-4086,1.9369999999999998
1473-7159,3.326
1473-7167,1.797
0957-4174,3.7680000000000002
0723-0869,0.737
2451-9766,4.85
0172-9179,1.367
1091-7527,1.077
1359-6640,3.427
0892-6638,5.595
1873-3468,2.9989999999999997
1567-1356,2.609
0015-0193,0.728
0015-0282,4.803
1015-3837,1.8130000000000002
0177-7963,1.1340000000000001
1229-9197,1.3530000000000002
0354-5180,0.635
1738-1088,2.09
1556-3650,4.381
1556-6811,2.872
1546-2218,0.4
1092-8529,3.5039999999999996
1469-493X,6.754
1543-3633,1.444
1871-4080,2.0
1434-5021,1.6580000000000001
0911-0119,0.48100000000000004
0142-5242,1.574
1463-9262,8.586
2191-9542,0.736
1757-4749,2.8089999999999997
0951-3590,1.453
2468-1229,0.308
1568-9883,4.138
1369-6513,2.173
1466-2523,2.406
0365-0812,0.882
0004-5632,1.983
0196-0644,4.68
0300-7995,2.665
1573-4137,1.306
0958-1669,8.38
1363-1950,4.534
1752-296X,3.279
2214-5745,4.171
0957-9672,3.853
0959-4388,6.541
1040-8703,2.673
1385-2728,2.193
2452-3186,1.9
1523-3774,3.0789999999999997
1574-888X,2.168
0070-217X,5.829
1556-9527,0.888
1947-6337,1.371
1424-8581,1.587
1346-7395,0.86
0378-7753,6.945
0005-1098,6.126
0003-0007,7.803999999999999
1570-761X,2.303
1435-9529,1.825
0108-0288,0.44799999999999995
0007-5140,0.75
1690-4648,0.214
1220-3874,0.35100000000000003
0037-9484,0.64
0067-3064,0.5
1742-7835,2.659
0304-4165,3.679
1570-9639,2.609
0304-419X,8.22
1067-151X,2.638
1557-2625,2.515
0002-7820,2.9560000000000004
1072-7515,4.7669999999999995
0003-021X,1.601
1078-3903,0.9390000000000001
0894-7317,6.827000000000001
1093-474X,2.16
1876-1364,0.878
1876-1364,0.878
0931-2439,1.607
2049-1891,3.205
0021-8820,2.033
1060-3271,1.087
0021-8901,5.742000000000001
0926-9851,1.646
1364-5072,2.16
0921-8971,2.401
0021-8979,2.176
0021-9002,0.83
1931-3195,0.976
1041-3200,2.092
0278-6133,3.177
1547-5271,4.743
0910-8327,2.185
0145-7632,1.216
0145-7632,1.216
1083-4389,4.123
0889-8588,3.0980000000000003
1520-4391,2.238
1520-4391,2.238
1024-5332,1.315
0196-206X,2.199
0196-206X,2.199
0022-040X,1.5619999999999998
1610-0379,2.7430000000000003
1079-2724,0.693
2381-6872,1.429
0920-5071,0.8640000000000001
0920-5071,0.8640000000000001
1050-6411,1.568
1050-6411,1.568
1359-6101,6.395
0011-4545,0.48100000000000004
1949-3584,2.451
0920-9069,1.4609999999999999
0920-9069,1.4609999999999999
1465-3249,3.9930000000000003
1465-3249,3.9930000000000003
0167-9236,3.565
1420-8008,2.886
0250-832X,1.848
1751-8628,1.443
1751-8644,3.2960000000000003
1751-8784,1.837
2472-5854,
1074-7613,19.734
0889-8561,3.694
1748-5908,4.345
1054-5476,1.057
1054-5476,1.057
0888-5885,3.141
0263-5577,2.948
0143-991X,1.205
0019-3577,0.753
0367-8318,0.27899999999999997
0955-8810,1.854
0955-8810,1.854
1540-2002,2.8710000000000004
2190-4286,2.968
2196-5099,0.345
1350-7265,1.337
0301-4215,4.039
0301-4215,4.039
2192-0567,1.625
0213-005X,1.7069999999999999
0952-1976,2.819
1994-2060,1.9180000000000001
0264-4401,1.177
0264-4401,1.177
0785-8760,0.256
1099-4300,2.305
1866-6280,1.435
1866-6280,1.435
1352-8505,0.8290000000000001
1078-7275,0.318
1567-7419,1.8459999999999999
0021-9045,0.9390000000000001
1674-6767,1.444
1004-3756,0.7659999999999999
0273-5024,1.7309999999999999
1388-6150,2.209
0306-4565,2.093
1948-5085,0.993
0149-5739,1.8519999999999999
0887-8722,1.085
1538-7933,4.899
1528-7394,2.7060000000000004
1093-7404,6.332999999999999
0733-947X,0.983
0733-947X,0.983
2473-2907,
1078-7496,0.452
1099-3460,1.7380000000000002
1051-0443,2.758
1018-1172,2.029
0361-5235,1.5659999999999998
0368-2048,1.601
0304-3886,1.3980000000000001
0736-4679,1.207
0099-2399,2.886
2095-4956,3.886
0001-6322,15.872
1755-375X,3.324
1413-7852,0.546
1570-8705,3.1510000000000002
1551-9899,0.753
0929-5607,1.829
0019-5154,1.338
0971-0426,0.366
0019-5464,0.35100000000000003
0250-474X,0.738
1420-326X,1.158
1355-6177,2.7769999999999997
1550-2783,3.135
0219-6352,0.662
0925-9902,1.107
1607-9264,1.301
1018-9068,3.457
1006-706X,1.126
1738-2203,1.129
0022-2151,0.9670000000000001
0364-152X,2.177
0893-6692,3.2539999999999996
1944-7442,1.3259999999999998
0324-8828,0.486
0013-936X,6.653
0959-3330,1.666
0167-8760,2.8680000000000003
0955-3002,1.97
0826-8185,1.065
1001-6279,1.659
1433-2779,1.077
1526-484X,2.489
1598-2351,0.7340000000000001
1598-2351,0.7340000000000001
1100-9233,2.658
0272-4634,2.19
1558-7878,1.554
0748-321X,0.85
1083-5601,1.131
1083-5601,1.131
1083-5601,1.131
1047-3203,1.8359999999999999
1063-455X,0.38799999999999996
0008-4034,1.265
0008-4182,1.314
0706-0661,0.898
0706-7437,3.612
1934-662X,3.866
1934-662X,3.866
0929-1903,4.044
0929-1903,4.044
1109-6535,2.432
1470-7330,3.016
0167-7659,6.081
0162-220X,1.844
0065-2385,1.127
1862-5347,1.653
1687-1847,1.0659999999999998
0169-409X,13.66
2199-160X,5.466
1614-6832,21.875
0065-2598,1.76
0065-2660,4.689
1382-4996,2.552
2192-2640,5.609
0065-2806,2.114
0165-232X,1.925
0165-232X,1.925
0165-232X,1.925
0010-065X,0.632
0303-402X,1.9669999999999999
0010-1354,0.42
1462-8910,2.778
0010-2180,4.494
0010-2180,4.494
0010-2202,1.1320000000000001
0010-2202,1.1320000000000001
1364-7830,1.744
0010-3624,0.54
0024-0966,0.46299999999999997
0898-2104,2.576
0022-2313,2.7319999999999998
0304-8853,3.0460000000000003
0742-1222,2.7439999999999998
0992-7689,1.621
0992-7689,1.621
0232-704X,0.774
0003-4800,1.5290000000000001
0373-0956,0.638
0246-0203,1.113
0003-469X,0.708
1012-2443,0.899
0077-8923,4.277
0003-4878,1.615
0753-3969,1.2
0168-0072,1.0
1341-1098,0.94
0003-4975,3.779
2165-8102,6.775
2165-8102,6.775
1523-9829,8.788
1548-5943,13.277999999999999
1947-5454,21.853
1543-592X,10.16
0066-4170,13.86
0732-0582,22.714000000000002
1466-5026,1.932
0266-4623,1.3330000000000002
1091-5818,1.504
1027-3719,2.392
0334-0082,0.425
0218-4885,1.159
1548-7199,1.022
0143-3369,0.652
0790-0627,1.895
1049-8001,2.445
1073-7928,1.145
2093-4777,1.726
1883-1958,3.306
0269-8811,4.738
0279-3695,0.608
0022-4065,2.306
0964-1998,2.4730000000000003
0449-3060,2.031
0920-3206,2.7710000000000004
0920-3206,2.7710000000000004
0174-1551,2.21
0174-1551,2.21
1842-4090,0.6709999999999999
0008-7475,0.5379999999999999
0161-4940,6.6
0920-5861,4.667
2073-4344,3.465
0341-8162,3.2560000000000002
1931-7913,2.4130000000000003
0923-2958,2.121
1071-5797,1.077
0308-0501,1.22
1054-6006,1.794
0920-1742,1.735
1386-6184,2.207
0169-5983,0.94
0015-4628,0.608
0015-4628,0.608
1933-6934,1.218
1641-4640,1.345
0954-0105,2.568
1935-5130,2.998
2214-2894,3.347
0950-3293,3.6519999999999997
1744-117X,2.9130000000000003
0925-7721,0.568
0332-1649,0.534
1541-4337,7.028
0167-8396,1.5219999999999998
1061-3773,1.153
0010-4825,2.115
2304-3881,3.451
0018-067X,3.872
0018-1439,0.738
0018-151X,1.064
0018-1544,0.544
1120-7000,1.276
1108-4189,0.40299999999999997
0315-0860,0.267
0144-5340,0.294
0144-5340,0.294
0309-0167,3.267
2059-2302,2.5580000000000003
0385-4035,0.364
0887-9311,0.606
0018-3830,2.079
1024-2708,1.226
0163-8998,6.756
1543-5008,18.712
2374-4642,5.14
1871-5206,2.556
1523-0864,6.53
1523-0864,6.53
0929-5585,0.516
0011-9164,6.603
0012-1606,3.262
1932-8451,2.5980000000000003
0950-1991,5.412999999999999
1869-6953,2.224
1860-9716,0.17
0732-8893,2.3409999999999997
1294-8322,3.6710000000000003
1842-3582,0.6729999999999999
0253-4886,2.031
1754-8403,4.398
0952-4746,1.274
1079-9893,1.775
1051-2276,2.6510000000000002
2164-6325,0.986
0916-8818,1.635
1735-1995,1.391
1071-2836,0.5529999999999999
2225-6253,0.33899999999999997
1094-6136,1.153
0022-4391,1.935
0022-4391,1.935
0005-9900,0.7170000000000001
0005-9900,0.7170000000000001
1757-6180,2.478
1369-703X,3.2260000000000004
1470-8175,1.036
0305-1978,0.847
1043-1802,4.485
0923-9820,2.41
0963-9969,3.52
2095-6355,2.426
1547-769X,2.0269999999999997
0015-7899,0.667
0015-7899,0.667
1661-4119,1.0
1661-4119,1.0
0933-7741,0.695
1615-3375,3.056
0429-2766,0.405
0218-348X,1.629
1028-6020,1.091
1058-0468,2.7880000000000003
1055-3290,1.4180000000000001
1340-3478,3.042
0739-0572,2.122
2510-1560,0.5870000000000001
2062-5871,3.628
1094-3412,1.7690000000000001
1176-7529,0.809
0218-3390,0.649
1549-3296,3.2310000000000003
1549-3296,3.2310000000000003
1552-4973,3.373
0018-7143,0.6
1946-6536,2.3
0885-6222,2.806
0268-1161,4.99
1311-5065,0.679
1475-6366,3.638
0143-005X,3.9730000000000003
1356-1294,1.483
1424-3199,1.025
1010-061X,2.5380000000000003
1728-869X,0.71
1063-7761,1.255
1300-1884,0.9540000000000001
1937-1632,0.561
1462-7264,0.569
1366-9516,4.614
0011-5029,0.8909999999999999
1431-0643,0.9179999999999999
2374-4235,1.932
0019-9567,3.2560000000000002
0019-9567,3.2560000000000002
0219-0257,0.6890000000000001
0352-9045,0.47600000000000003
0306-4379,2.551
1387-3326,3.2319999999999998
1058-0530,1.255
1350-4495,1.851
0895-8378,1.819
1399-560X,0.763
2075-4450,1.848
1567-5394,3.7889999999999997
1567-5394,3.7889999999999997
0197-8462,2.0
0265-9247,4.419
0951-6433,3.0380000000000003
1759-7269,0.784
0168-2563,3.265
1565-3633,1.92
0006-3185,1.526
0340-1200,1.44
2212-683X,0.787
1744-9561,3.345
0929-1016,0.6990000000000001
0163-4984,2.3609999999999998
0961-9534,3.358
2047-4830,5.831
0895-3988,2.5180000000000002
0895-3988,2.5180000000000002
0388-6107,1.284
0006-341X,1.524
1382-6689,2.7760000000000002
1210-7913,0.373
2045-7960,5.684
0739-1102,3.1069999999999998
1864-063X,3.7680000000000002
1864-063X,3.7680000000000002
1864-063X,3.7680000000000002
0168-1656,2.533
1084-0702,1.454
2190-6009,12.511
1837-9664,3.2489999999999997
0973-1482,0.8420000000000001
2040-2244,0.809
0733-9496,3.197
1570-8268,1.348
1435-0211,1.413
0895-3996,1.381
1042-7260,0.684
1927-6311,0.475
2213-1779,8.202
1780-2393,0.195
0884-2175,1.473
1047-4838,2.145
1098-612X,1.466
0734-9041,1.296
1661-7738,0.971
1753-318X,2.483
0094-730X,1.7269999999999999
1687-9120,0.71
0065-3055,4.944
0065-308X,3.986
1876-1623,2.439
1527-7941,1.3769999999999998
1816-112X,0.737
1615-4150,5.122999999999999
0309-1708,3.512
0393-5965,1.515
0161-9152,2.9
1568-1637,8.972999999999999
1746-4358,2.3
0020-6539,1.389
1567-5769,3.1180000000000003
0268-3768,2.6010000000000004
1087-1357,2.5780000000000003
1741-038X,2.194
2046-4177,0.31
1023-2796,0.37200000000000005
2050-7488,9.931000000000001
1059-9495,1.34
0924-0136,3.647
0924-9907,1.9269999999999998
1846-579X,0.8490000000000001
1745-9737,0.14300000000000002
2190-8567,2.414
0022-2488,1.165
0022-5096,3.5660000000000003
1878-5085,3.9
0014-0139,2.019
0764-583X,1.85
1612-9059,0.991
0367-0449,0.6579999999999999
0014-2336,1.546
1148-5493,1.72
0961-5423,2.4090000000000003
1010-7940,3.5039999999999996
1474-5151,2.6510000000000002
0171-9335,2.9389999999999996
1167-1122,1.944
0948-3276,0.171
0023-1584,0.9259999999999999
0968-0160,1.903
0075-6458,0.919
1226-119X,0.9540000000000001
1065-6995,1.936
2045-3701,3.219
1538-4101,3.304
1425-8153,1.291
1355-8145,2.571
0386-7196,2.391
1422-6405,1.275
1422-6405,1.275
0958-9465,4.66
0008-8846,5.43
1733-7178,1.04
1584-8663,0.624
1071-8443,0.828
1747-0277,2.3280000000000003
0255-2701,2.826
0193-4929,2.421
0213-1315,0.369
1139-1138,1.055
1052-9276,5.034
0034-8570,0.41200000000000003
0035-3787,1.7619999999999998
1888-9891,2.233
0373-5680,0.38
1755-0203,0.831
1755-0203,0.831
0041-6932,0.517
1672-6308,1.521
0035-6808,0.185
1468-0629,2.193
0921-8890,2.638
0736-5845,3.464
0263-5747,1.177
1438-9029,1.636
1221-146X,1.433
1068-1620,0.838
0047-6374,3.739
0167-6636,2.697
2191-9151,1.3519999999999999
0025-6544,0.619
1385-2000,1.364
0098-8847,2.807
0906-7590,4.52
1936-0584,2.755
0307-6946,2.244
1574-9541,1.82
1461-023X,9.137
0424-267X,0.664
0924-8579,4.253
1546-542X,1.165
0888-613X,1.766
0141-8130,3.909
1793-5245,0.846
1364-0461,0.643
0538-8066,1.416
0098-9886,1.444
1940-5901,0.833
0219-8762,0.805
1573-4064,2.6310000000000002
0272-989X,3.012
0272-989X,3.012
0025-7273,0.867
0300-8584,3.202
0465-5893,0.61
0025-8024,0.589
0962-9351,3.549
1865-9284,1.925
1073-5615,1.834
0941-2948,1.436
0076-6879,1.984
0026-1270,1.531
1046-2023,3.998
1076-6294,2.344
1076-6294,2.344
0385-5600,1.335
1092-2172,13.439
0944-5013,2.7769999999999997
1073-9688,2.7969999999999997
0167-9317,2.02
1070-3632,0.6579999999999999
1061-9208,0.779
0927-6467,0.662
0036-0279,1.364
1358-8265,1.053
1991-3761,1.163
2212-4209,1.9680000000000002
0276-3478,3.897
0276-3478,3.897
0142-0615,3.61
1452-3981,1.369
0022-2844,1.9569999999999999
0946-2716,4.938
