First Author,Other Authors,Article Title,Date of Publication,Type of Publication,Publication,Volume (issue),ISSN,Archive,References Viewable?,Order Article?,ACL Citations,Keywords,DOI / HTML Address,Journal Impact Factor (uses ResearchGate data),Journal Impact Factor (Clarivate),Search Engine Ranking,Unique Site Visits (monthly),Pages per Visit,Views (Not Including Downloads),Citations,Downloads,"AltMetric (Shares, Likes, Comments)",Date Located,IMPACT_FACTOR
"Ory, M. G.","Lee, S., Zollinger, A., Bhurtyal, K., Jiang, L., & Smith, M. L.",Translation of Fit & Strong! for Middle-Aged and Older Adults: Examining Implementation and Effectiveness of a Lay-Led Model in Central Texas,2015-04-27 00:00:00,Journal,Frontiers in Public Health,2,2296-2565,NCBI,Yes,,Administration on Aging: Chronic Disease Self-Management Program (CDSMP) Process Evaluation [AoA],"""HHSP233201100492G""",https://dx.doi.org/10.3389%2Ffpubh.2014.00187,2.11,,,,,2713.0,2.0,,,2018-07-02,
"Link, Greg",,The Administration for community Living: Programs and Initiatives Providing Family Caregiver Support,2015-12-15 00:00:00,Journal,Generations,Winter 2015-6, 0738-7806,Ingenta Connect,Yes,N,"FY 2013 Report to Congress: Older Americans Act [ACL];
Aging Integrated Database (AGID): 2005-2013;
National Survey of Older Americans Act Participants (NSOAAP) 2014;
National Study of Aging and Disability Resource Centers: Process and Outcome Study Report [ACL];
The Alzheimer's Disease Supportive Services Program: 2014 Report on Completed Grants [ACL, RTI International]","""AGID"" AND ""ACL""",http://www.ingentaconnect.com/content/asag/gen/2015/00000039/00000004/art00009,0.2,,,,,,,,,2018-06-19,
"Achenbaum, W. A.",,The Historical Roles of States in Shaping U.S. Aging Policies,2008-09-01 00:00:00,Journal,Generations,3,0738-7806,Ingenta Connect,No,Yes,,"""NORS"" AND ""OAA""",http://www.ingentaconnect.com/content/asag/gen/2008/00000032/00000003/art00003,0.2,,,,,,,,,2018-06-27,0.29600000000000004
"Bloemen, E. M.","Rosen, T., Clark, S., Nash, D., & Mielenz, T. J.",Trends in Reporting of Abuse and Neglect to Long Term Care Ombudsmen: Data from the National Ombudsman Reporting System from 2006 to 2013,2015-04-30 00:00:00,Journal,Geriatric Nursing,36(4),0197-4572,Geriatric Nursing Journal,Yes,,"AoA FY 2012 Report to Congress;
National Ombudsman Reporting System (NORS)","""AGID"" AND ""ACL""",https://doi.org/10.1016/j.gerinurse.2015.03.002,0.3,,,,,11.0,2.0,148.0,82.0,2018-06-19,1.541
"Grande, S. A.",,Investigating the Intersection of Aging and Community Transportation: An Executive Position Paper,2014,Academic Thesis,Wilmington University,,,ProQuest,No,Dissertation - Maybe?,,"""National Survey of Area Agencies on Aging""",https://search.proquest.com/openview/ca2002cdf2b60f273f73cad65294640b/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-28,
"Leary, M. A.",,"Policy Intersections or Policy Chasms -- State Elder Mobility Policy, Practice and Long-Term Care Reform",2008,Academic Thesis,George Mason University,,,ProQuest,No,Dissertation - Maybe?,,"""State Program Reports"" AND ""OAA"" ",https://search.proquest.com/openview/27d8fa3a7eec71df3392157d21ddc3a3/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-27,
"Huffman, F. G.","Vaccaro, J. A., Vieira, E. R., Zarini, G. G.","Osteoporosis, Activities of Daily Living Skills, Quality of Life, and Dietary Adequacy of Congregate Meal Participants",2018-05-10 00:00:00,Journal,Geriatrics,3(2),0016-867X,MDPI,Yes,,"A Profile of Older Americans: 2016 [ACL];
Aging Integrated Database (AGID);
Opportunities to Improve Nutrition for Older Adults and Reduce Risk of Poor Health Outcomes [Tilly, J., ACL]","""AGID"" AND ""ACL"" AND ""NSOAAP""",https://doi.org/10.3390/geriatrics3020024,0.36,,,,,675.0,0.0,150.0,,2018-06-19,
"Bakhtadze, R.","Ellison, J., Jumde, A., Lee, L., McCarty, J., Pate, A., See, A., & Xing, Y.",The Brazos Valley Council of Governments Service Integration Report 2013-2014,2014,State Document,Brazos Valley Council of Governments,,,Texas A&M University,Yes,,National Aging Program Information System (NAPIS): Comprehensive Aging Reporting and Data System (CARDS),"""National Survey of Area Agencies on Aging"" AND ""NAPIS""",https://oaktrust.library.tamu.edu/handle/1969.1/151988,,,,77873,2.77,,,,,2018-06-28,
"Huffman, F. G.","Vaccaro, J. A., Vieira, E. R., Zarini, G. G.",Health-Related Characteristics of Older Adults Who Atend Congregate Meal Sites in the United States,2017-07-14 00:00:00,Journal,Geriatrics,2(3),0016-867X,MDPI,Yes,,"Nutrition Services [ACL, web];
Aging Integrated Database (AGID) [Survey Documentation]","""AGID"" AND ""ACL"" AND ""NSOAAP""",http://dx.doi.org/10.3390/geriatrics2030022,0.36,,,,,2391.0,2.0,720.0,,2018-06-19,
"Dabelko, H. I.","DeCoster, V. A.",Diabetes and Adult Day Health Services,2007-11-01 00:00:00,Journal,Health & Social Work,32(4),0360-7283,Oxford Academic,No,Yes,,"""NAPIS""",https://doi.org/10.1093/hsw/32.4.279,1.48,,,,,3.0,2.0,11.0,3.0,2018-07-02,1.115
"Dong, X.","Chen, R., & Simon, M. A.",Elder Abuse and Dementia: a Review of the Research and Health Policy,2014-04-01 00:00:00,Journal,Health Affairs,33(4),0092-8577,Health Affairs,Yes,,"The 2004 Survey of State Adult Protective Services: Abuse of Vulnerable Adults 18 Years of Age and Older [AoA, NCEA];
White Paper: Building the Foundation to Prevent Elder Abuse: Cultural Diversity and the Role of Community [AoA]",,https://doi.org/10.1377/hlthaff.2013.1261,4.53,,,,,,25.0,,6.0,2018-07-06,
"Potter, D. E. B.","McKethan, A., & Nguyen, N.",Long-Term Care Quality Alliance,2008-12-01 00:00:00,Research Brief,Brookings,,,Brookings,Yes,,"Older Americans Act Program Results and Program Evaluation [AoA];
Technical Assistance Exchange [ADRC]","""State Program Reports"" AND ""OAA"" ",https://www.brookings.edu/wp-content/uploads/2012/04/Appendix.pdf,,,25725,1915000,1.69,,,,,2018-06-27,
"Connolly, L.",,California State Plan on Aging 2005-2009,2005,State Document,California Department of Aging,,,Nexus Evaluation,Yes,,"2004 National Aging Programs Information System (NAPIS);
State Program Report (SPR)","""NAPIS""",http://nexusevaluation.com/resources/data/files/CA%20Plan%20on%20Aging.pdf,,,33975531,"< 5,000",3.0,,,,,2018-07-02,
"Birnbach, K.",,An Opportunity to Boost Senior Participation in CalFresh: the Potential of Targeted Enrollment among Social Security Recipients,2011-10-19 00:00:00,Research Brief,California Food Policy Advocates,,,Penn State University,Yes,,"Aging Integrated Database (AGID);
Fact Sheet: Elderly Nutrition Program [AoA];
A Profile of Older Americans: 2010 [AoA, web];
State Program Reports (SPR)","""State Program Reports"" AND ""OAA"" ",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.455.6895&rep=rep1&type=pdf,,,,5306000,2.23,,,,,2018-06-27,
"Moone, R. P.",,National Policy Diffusion of Cost Sharing in the 2000 Reauthorization of the Older Americans Act,2008-01-01 00:00:00,Academic Thesis,University of Minnesota - Twin Cities,,,ProQuest,No,Dissertation - Maybe?,,"""State Program Reports"" AND ""OAA"" ",https://search.proquest.com/openview/7eb09a7dc09bcb2455db39d1f1a200a6/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-27,
"Progovac, A. M.","Lê Cook, B., Mullin, B. O., McDowell, A., Sanchez R., M. J., Wang, Y. Creedon, T. B., & Schuster, M. A.",Identifying Gender Minority Patients' Health and Health Care Needs in Administrative Claims Data,2018-03-01 00:00:00,Journal,Health Affairs,37(3),0092-8577,Health Affairs,Yes,,No,"""Title VI Services by Tribal Organization""",https://doi.org/10.1377/hlthaff.2017.1295,,,,,,,,,36.0,2018-06-28,
"Brewster, A. L.","Kunkel, S., Straker, J., & Curry, L. A.",Cross-Sectoral Partnerships by Area Agencies on Aging: Associations with Health Care Use and Spending,2018-01-01 00:00:00,Journal,Health Affairs,37(1),0092-8577,Health Affairs,Yes,,No,,https://doi.org/10.1377/hlthaff.2017.1346,,,,,,,,,,2018-07-09,
"Thomas, K. S.","Mor, V.",Providing More Home-Delivered Meals is One Way to Keep Older Adults with Low Care Needs Out of Nursing Homes,2013-10-01 00:00:00,Journal,Health Affairs,32(10),0092-8577,Health Affairs,Yes,,"State Program Reports (SPR);
Aging in Place: Do Older Americans Act Title III Services Reach Those Most Likely to Enter Nursing Homes? Research Brief Number 1 [ACL, Mathematica];
Nutrition Services (OAA Title IIIC) [ACL, web];
Aging Integrated Database (AGID);
FY 2013 Justification of Estimates for Appropriations Committees [ACL]","""AGID"" AND ""ACL""",https://doi.org/10.1377/hlthaff.2013.0390,4.53,,,,,,20.0,,382.0,2018-06-19,
"Plange-Kaye, E.",,Caregivers' Burden: A Phenomenological Study of the Lived Experiences of Informal Caregivers,2017,Academic Thesis,,,,ProQuest,No,Dissertation - Maybe?,,"""AGID"" AND ""ACL""",https://search.proquest.com/openview/eb85cc033fb4b5a617eefb6860c68b13/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-19,
"Potter, A. J.",,Informal Caregivers and the Health of Older Adult Care-Recipients,2016-12-01 00:00:00,Academic Thesis,,,,ProQuest,No,Dissertation - Maybe?,,"""AGID"" AND ""ACL""",https://search.proquest.com/openview/e8d4aa4062909debcf2a85feaccdc74b/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-19,
"Smith, M. L.","Belza, B., Braun, K. L., King, S., Palmer, R. C., Sugihara, N. S., Altpeter, M., Snyder, S., Ory, M. G.",National Reach and Dissemination of EnhanceFitness,2014-03-01 00:00:00,Journal,Health Behavior and Policy Review,2,2326-4403,Ingenta Connect,No,Yes,,"""NAPIS""",https://doi.org/10.14485/HBPR.1.2.7,,,,,,,,,,2018-06-28,
"Wunderlich, S.","Gatto, K. A.",Impact of government-sponsored nutrition education and phsyical activity programs on health aging in the United States,2016,Journal,Healthy Aging Research,5,2261-7434,Wolters Kluwer,Yes,N,"A Profile of Older Americans: 2014 [ACL, web];
Older Americans Benefit from Older Americans Act Nutrition Programs [ACL];
Process Evaluation of Older Americans Act Title III-C Nutrition Services Program [ACL, Mathematica];
National Survey of Older Americans Act Participants (NSOAAP)","""AGID"" AND ""ACL""",https://doi.org/10.1097/01.HXR.0000491109.90858.d5,,,,,,,,,1.0,2018-06-19,
"Herrera, A. P.","George, R., Angel, J. L., Markides, K., & Torres-Gil, F.","Variation in Older Americans Act Caregiver Service Use, Unmet Hours of Care, and Independence Among Hispanics, African Americans, and Whites",2012-12-19 00:00:00,Journal,Home Health Care Services Quarterly,32(1),0162-1424,T and F Online,Yes,,No,,https://doi.org/10.1080/01621424.2012.755143,,,,,,635.0,9.0,,,2018-07-06,
"Sonnega, A.","Robinson, K., & Levy, H.",Home and community-based service and other senior service use: Prevalence and characteristics in a national sample,2017-02-05 00:00:00,Journal,Home Health Care Services Quarterly,36(1),0162-1424,T and F Online,Yes,,"Aging Integrated Database (AGID) [American Community Survey, 2012];
State Program Reports (SPR) 2011;
Aging in Place: Do Older Americans Act Title III Services Reach Those Most Likely to Enter Nursing Homes? [ACL]","""AGID"" AND ""ACL""",https://doi.org/10.1080/01621424.2016.1268552,0.66,,,,,155.0,2.0,,6.0,2018-06-19,
"Kitchener, M.","Ng, T., Willmott, M., & Harrington, C.",The Texas Medicaid State Plan Personal Care Services Program,2006-07-01 00:00:00,Research Brief,Center for Personal Assistance Services,,,Care for Elders,Yes,,"National Aging Program Information System (NAPIS);
State Program Reports (SPR);
Title III - Grants for State and Community Programs on Aging FY 2004 Final Allocation [AoA];
Redirecting Long Term Care: Final Report, U. S. Administration on Aging [AoA]","""State Program Reports"" AND ""OAA"" AND ""NAPIS""",http://ww.w.careforelders.org/files/DDF/00000212.pdf,,,,0,,,,,,2018-06-27,
"Smith, J.",,Area Agencies on Aging: A Community Resource for Patients and Families,2010-07-01 00:00:00,Journal,Home Healthcare Nurse,28(7),0884-741X,Ovid,No,Yes,,,10.1097/NHH.0b013e3181e32552,0.43,,,,,,,,,2018-07-05,
"Kitchener, M.","Ng, T., Willmott, M., & Harrington, C.",The Washington Medicaid State Plan Personal Care Services Program,2005-10-01 00:00:00,Research Brief,Center for Personal Assistance Services,,,Penn State University,Yes,,"National Aging Program Information System (NAPIS);
State Program Reports (SPR);
Title III - Grants for State and Community Programs on Aging FY 2004 Final Allocation [AoA]","""State Program Reports"" AND ""OAA"" ",http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.483.4887&rep=rep1&type=pdf,,,,5306000,2.23,,,,,2018-06-27,
"Colello, K. J.","Napili, A.",Older Americans Act: Background and Overview,2015-05-04 00:00:00,State Document,Congressional Research Service,,,Congressional Research Service,Yes,,"FY 2015 Justification of Estimates for Appropriations Committees [ACL];
""ADRC Locator"" [web];
AoA FY 2012 Report to Congress;
Aging Integrated Database (AGID);
""Funding Allocations to States and Tribal Organizations"" [AoA, web];
""Administration on Aging (AoA), Long-Term Care Ombudsman Program"" [ACL, web]","""AGID"" AND ""ACL""",https://www.everycrsreport.com/files/20150504_R43414_1f52c43bddaed8ec40f6d0072cc22b5b7453e962.pdf,,,503605,55787,1.67,,,,,2018-06-19,
"Lee, K. I.","Gould, R.",Predicting congregate meal program participation: Applying the extended theory of planned behavior,2012-09-01 00:00:00,Journal,International Journal of Hospitality Management,31(3),0278-4319,ScienceDirect,No,Yes,,"""State Program Reports"" AND ""OAA"" ",https://doi.org/10.1016/j.ijhm.2011.09.019,3.48,,,,,31.0,9.0,25.0,,2018-06-27,3.445
"Arigala, A. K.",,Enhanced Global Communication Service-Centric Framework for a Digital Government Application,2013-05-01 00:00:00,Journal,International Journal of Scientific Engineering and Technology Research,2(5),2319-8885,IJSETR,Yes,,National Aging Program Information System (NAPIS);,"""NAPIS""",http://ijsetr.com/uploads/461253IJSETR107-10.pdf,0.18,,,,,,13.0,,,2018-07-02,
"Riccardo, C.",,"Nutrition Education for Older Adults in Congregate and Home-Delivered Meal Sites: What is Taught, What do we Know, and Where do we Go?",2018-05-16 00:00:00,Academic Thesis,,,,ProQuest,No,Dissertation - Maybe?,,"""AGID"" AND ""ACL""",https://search.proquest.com/openview/698ceda9d7a5a789896390fd26743f6c/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-19,
"Kitchener, M.","Ng, T., & Harrington, C.",Medicaid State Plan Personal Care Services,2008-09-22 00:00:00,Journal,Journal of Aging & Social Policy,19(3),0895-9420,T and F Online,Yes,,Title III and Title VII State Program Report (SPR) Tables 1997-2002,"""NAPIS""",https://doi.org/10.1300/J031v19n03_02,1.65,,,,,81.0,15.0,,3.0,2018-06-28,1.5119999999999998
"Romano, M. J.",,Public Long Term Care Models: Possibilities for Replication to Maximize Consumer Satisfaction and Cost Effectiveness among At-Risk Elders and Special Populations,2009,Academic Thesis,State University of New York Empire State College,,,ProQuest,No,Dissertation - Maybe?,,"""State Program Reports"" AND ""OAA"" ",https://search.proquest.com/openview/182250478afd5e98f4f7f847b202bd2e/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-27,
"Truesdell, T.",,Motivation for Volunteering with Older Adults in a Rural Community,2016-08-01 00:00:00,Academic Thesis,Walden University,,,ProQuest,No,Dissertation - Maybe?,,"""State Program Reports"" AND ""OAA"" ",https://search.proquest.com/openview/d4e7486f1742beba863d72e0035cef52/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,2678000,3.5,,,,,2018-06-27,
"Potter, A. J.",,Factors Associated With Caregivers' Use of Support Services and Caregivers' Nonuse of Services Sought,2018-01-02 00:00:00,Journal,Journal of Aging & Social Policy,30(2),0895-9420,T and F Online,Yes,,State Program Reports (SPR),"""AGID"" AND ""ACL""",https://doi.org/10.1080/08959420.2017.1414539,1.65,,,,,175.0,0.0,,4.0,2018-06-19,1.5119999999999998
"Nattinger, M. C.","Kaskie, B.",Determinants of the Rigor of State Protection Policies for Persons With Dementia in Assisted Living,2016-11-01 00:00:00,Journal,Journal of Aging & Social Policy,29(2),0895-9420,T and F Online,Yes,,National Ombudsman Reporting System (NORS) 2000-2013,"""AGID"" AND ""ACL""",https://doi.org/10.1080/08959420.2016.1236324,1.65,,,,,138.0,0.0,,1.0,2018-06-19,1.5119999999999998
"Washko, M. M.","Schack, R. W., Goff, B. A., & Pudlin, B.","Title V of the Older Americans Act, the Senior Community Service Employment Program: Participant Demographics and Service to Racially/Ethnically Diverse Populations",2011-04-12 00:00:00,Journal,Journal of Aging & Social Policy,23(2),0895-9420,T and F Online,Yes,,No,,https://doi.org/10.1080/08959420.2011.554081,,,,,,455.0,3.0,,,2018-07-06,1.5119999999999998
"Whittier, S.","Scharlach, A., & Del Santo, T.",Availability of Caregiver Support Services: Implications for Implementation of the National Family Caregiver Support Program,2008-10-02 00:00:00,Journal,Journal of Aging & Social Policy,17(1),0895-9420,T and F Online,Yes,,"Elder Caregiving in Rural Communities [online]. NFCSP Issue Brief, Iowa: Administration on Aging [AoA];
Respite Services for Caregivers [AoA, web]",,https://doi.org/10.1300/J031v17n01_03,1.65,,,,,428.0,25.0,,0.0,2018-07-09,1.5119999999999998
"Freeman, I. C.",,Nursing Home Reform: Fait accompli or Frontier?,2010-10-12 00:00:00,Journal,Journal of Aging & Social Policy,9(2),0895-9420,T and F Online,Yes,,"Real People, Real Problems: An Evaluation of the Long-Term Care Ombudsman Program of the Older Americans Act [AoA, IoM]","""State Program Reports"" AND ""OAA"" ",https://www.tandfonline.com/doi/abs/10.1300/J031v09n02_02,1.57,,,,,27.0,1.0,,0.0,2018-06-28,1.5119999999999998
